Unnamed: 0,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
215,0.0278,125,2900,3,0,100,310,12,,1650.523602,5116.623167,198.0628323,
224,0.03,15.91,1500,2.24,0,116,232,21.5,,938.9467525,1877.893505,174.028924,80.4
5,0.0011,32,2900,2.3,0,38,157,4,,1168.699059,4828.572428,123.0209536,32
12,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
316,0.1375,84,1475,2.8,0,210,514,30,,1781.878786,4361.360457,254.5541123,
76,0.0069,80,2900,2.3,0,80,252,7.5,,1810.660187,5703.579589,169.7493925,
1,0.0007,15,2800,2.3,0,29,112,5,,805.4941752,3110.874056,138.8783061,34
4,0.0011,20,2900,2.3,0,30,127,5,,788.8607683,3339.510586,131.4767947,36
250,0.052,44,1450,2.3,0,140,370,20,,1324.172243,3499.59807,189.1674632,
169,0.0194,82,2950,2.4,0,93,259,12,,1503.673881,4187.650916,194.0224363,
30,0.0035,12.5,1450,2,0,65,200,8,,993.5598034,3057.107087,122.2842835,55
6,0.0014,20,2900,2.5,0,38,127,5,,922.0424512,3081.562929,121.3213752,44
194,0.0278,32,2900,2.3,0,90,215,12,,943.2154448,2253.236896,125.7620593,
274,0.0556,20,1450,2.3,0,158,280,25.6,,1123.678716,1991.329371,182.0643996,
187,0.0278,12.5,1450,2.5,0,125,216,26.5,,957.6314902,1654.787215,203.0178759,76
329,0.2222,82,1475,5,0,240,514,40,,1721.4768,3686.829481,286.9128001,
334,0.3056,40,1450,2,0,330,509,77,,1675.519502,2584.361898,390.9545504,
96,0.007,32,1450,2.5,0,80,315,7.5,,1327.722453,5227.90716,124.47398,52
309,0.1111,20,1450,3.8,0,178,258,38,,1005.059982,1456.772333,214.5633669,
51,0.0035,32,2900,2.3,0,48,165,6,,1003.69528,3450.202527,125.4619101,
136,0.0139,50,2900,2.3,0,70,195,10,,1072.547269,2987.810249,153.2210384,
137,0.0139,80,2900,2.3,0,80,255,9,,1433.66731,4569.814549,161.2875723,
109,0.0097,20,1475,0.7,0,93,259,12,,1183.683796,3296.495733,152.733393,
243,0.045,29,2950,5,0,116,169,29,,1001.966383,1459.761368,250.4915957,
239,0.04,4.9,1450,6,0,144,172,35,,715.1676396,854.228014,173.825468,78.3
233,0.0353,82,2950,4,0,55,259,16,,728.4097301,3430.147638,211.9010124,
221,0.0278,50,1450,1.3,0,125,395,15,,1520.145235,4803.658942,182.4174282,
155,0.0139,12.5,1450,0.8,0,98,215,14,,945.9274168,2075.248925,135.1324881,
226,0.0319,85,2900,3.4,0,110,259,15,,1524.996216,3590.672908,207.9540294,
275,0.0556,32,1450,2.3,0,150,328,23,,1247.717658,2728.342612,191.3167075,
63,0.0056,36,2900,3.1,0,52,180,7,,966.885027,3346.909709,130.1575998,
269,0.0556,32,1450,2.3,0,150,328,23,,1247.717658,2728.342612,191.3167075,
24,0.0035,50.34,2900,1.04,0,48,200,6,38,1167.319193,4863.829972,145.9148992,51.09
157,0.0139,32,1450,0.8,0,100,310,12,,1320.418882,4093.298533,158.4502658,
227,0.0319,11,1450,1.2,0,129,209,32,,904.6009601,1465.593804,224.3971374,
237,0.0389,45,2900,2.3,0,100,200,23,,1049.75424,2099.50848,241.4434752,
100,0.0081,53,2950,2.2,0,78,209,9,,1458.897857,3909.098103,168.3343681,
145,0.0139,20,1450,1.5,0,100,263,11,,1128.942264,2969.118153,124.183649,
331,0.2375,128,1475,4.6,0,255,648,37,,2075.179327,5273.396878,301.1044514,
292,0.0833,77,1475,2,0,180,514,21,,1753.427229,5007.008864,204.56651,
103,0.0086,13,2950,0.75,0,90,209,13,,1032.898095,2398.61891,149.1963915,
189,0.0278,20,1450,2.5,0,125,317,14,,1120.052586,2840.453357,125.4458896,76
295,0.0889,44,2950,6,0,144,209,36,,1139.058766,1653.217237,284.7646915,
71,0.0069,80,2900,2.3,0,65,248,6,,1471.161402,5613.04658,135.799514,
229,0.0333,23,1450,1,0,155,259,33,,1370.123028,2289.431382,291.7036124,
135,0.0139,32,2900,2.3,0,70,167,12,,924.2932172,2205.099532,158.4502658,
199,0.0278,40,2900,2.3,0,100,186,23,,1128.942264,2099.83261,259.6567206,
84,0.0069,12.5,1450,2.5,0,80,204,9,,975.2372798,2486.855063,109.714194,
124,0.0139,32,2900,2.5,0,65,165,7,,858.2722731,2178.691155,92.42932172,65
171,0.0208,8,1450,2.2,0,120,169,32.6,,872.6835642,1229.029353,237.079035,
111,0.0103,46.08,2900,6,0,54,194,7,,889.7858774,3196.638152,115.3426137,73.53
165,0.0178,32,1450,1.3,0,110,324,13,,1337.527368,3939.626066,158.0714162,
8,0.0018,8,1450,2,0,50,158,6.4,,822.0706914,2597.743385,105.2250485,48
179,0.0261,32,2950,3,0,100,169,21,,1070.294163,1808.797136,224.7617743,
318,0.1389,10,1450,2.3,0,207,259,67.4,,861.1317398,1077.454689,280.3878225,
280,0.0639,79,2950,4,0,132,259,24,,1416.715598,2779.767727,257.5846542,
45,0.0035,50,2900,2.3,0,50,195,6,,1213.213752,4731.533631,145.5856502,
222,0.0286,54,2950,3.2,0,105,209,18,,1297.772423,2583.185108,222.4752725,
83,0.0069,32,2900,2.3,0,65,169,6.5,,1083.960989,2818.298571,108.3960989,
326,0.1833,27,1475,2.7,0,228,409,48,,1204.116793,2160.016529,253.4982723,
120,0.0131,8,1475,1.4,0,100,169,21,,848.4108823,1433.814391,178.1662853,
2,0.0007,32,2900,2.3,0,40,157,4.5,,1430.245656,5613.7142,160.9026363,25
307,0.1111,32,1450,3.8,0,178,328,38,,1175.525286,2166.136482,250.9548364,
303,0.1111,20,1450,3.8,0,175,275,47,,988.1207688,1552.761208,265.3810065,82
306,0.1111,20,1450,3.8,0,178,258,38,,1005.059982,1456.772333,214.5633669,
44,0.0035,32,2900,2.3,0,48,165,6,,1003.69528,3450.202527,125.4619101,
253,0.0542,18.5,1475,1.7,0,160,259,34,,1118.177622,1810.050026,237.6127447,
332,0.2389,106,1475,4.1,0,248,578,40,,1891.537342,4408.502353,305.086668,
126,0.0139,80,2900,2.5,0,75,254,10,,1344.063103,4551.893708,179.2084137,63
107,0.0094,14,1450,1.5,0,80,209,13,,913.6013115,2386.783426,148.4602131,
105,0.009,30,2900,2.3,0,52,157,10,,776.7768227,2345.268484,149.3801582,76.42
257,0.0556,80,2900,4.2,0,125,317,14,,1411.17783,3578.746976,158.0519169,78
336,0.3611,20,1450,1.2,0,305,409,85,,1162.609878,1559.040787,324.0060315,
261,0.0556,32,1450,2.3,0,141,325,23,,1172.854598,2703.388259,191.3167075,
202,0.0278,54,2900,3.2,0,110,209,17,,1372.489424,2607.729905,212.1120018,
59,0.0042,8,1450,0.5,0,70,169,10,,867.7173319,2094.917559,123.9596188,
277,0.061,48.3,2900,4.2,0,114,205,24,,1054.655487,1896.529604,222.0327342,85
64,0.0056,50,2900,27,0,53,209,7,,1099.520157,4335.843637,145.2196433,
55,0.0035,20,1450,2.3,0,65,249,6.5,,1162.074596,4451.639605,116.2074596,
273,0.0556,125,2900,4,0,125,328,13,,1637.526814,4296.87036,170.3027887,
177,0.025,20,1450,1.3,0,115,259,18,,1067.565432,2404.343016,167.097198,
192,0.0278,20,2900,2.3,0,82,142,24,,734.7544961,1272.379737,215.0500964,
184,0.0278,50,2900,3.6,0,90,203,16,,1094.504569,2468.715861,194.5785901,76
10,0.0018,20,1450,2,0,50,250,5,,1115.721583,5578.607917,111.5721583,32
117,0.0127,29.3,2900,2,0,76,164,10.4,,1004.233933,2167.031119,137.4214856,82.9
197,0.0278,20,2900,2.3,0,82,142,24,,734.7544961,1272.379737,215.0500964,
47,0.0035,12.5,1450,2.3,0,65,198,8,,993.5598034,3026.536016,122.2842835,
20,0.0028,13,1450,1,0,53,209,7,,884.1738032,3486.647639,116.7776721,
58,0.0035,8,1450,2.3,0,65,169,6.5,,856.2238828,2226.182095,85.62238828,
164,0.0172,52,2950,2.6,0,90,209,13,,1301.370052,3022.070455,187.9756742,
263,0.0556,20,1450,2.3,0,125,260,42,,888.9863263,1849.091559,298.6994056,
296,0.0931,104,1475,2.4,0,186,578,22,,1929.92677,5997.299318,228.2709083,
74,0.0069,125,2900,2.3,0,65,315,8,,1707.131584,8273.022292,210.1085027,
38,0.0035,12.5,2900,2.3,0,55,110,15,,840.704449,1681.408898,229.2830315,62
205,0.0278,80,2900,2.3,0,100,263,11,,1422.378122,3740.854461,156.4615934,
304,0.1111,32,1450,3.5,0,190,348,31,,1254.774182,2298.217975,204.7263139,82
238,0.0392,127,2950,4,0,117,324,14,,1731.244525,4794.215609,207.1574646,
204,0.0278,50,2900,2.3,0,98,215,14,,1191.793864,2614.649804,170.2562663,
260,0.0556,50,1450,2.8,0,150,399.5,21.5,,1447.848087,3856.102072,207.5248925,75
265,0.0556,50,2900,5.5,0,125,223,20,,1206.540072,2152.467489,193.0464116,
203,0.0278,32,1450,1.3,0,125,324,16,,1310.021451,3395.575601,167.6827457,
230,0.0333,35.6,1450,1,0,160,324,25,,1636.019858,3312.940212,255.6281028,
283,0.0667,55.8,1450,2.3,0,200,409,32,,1884.514358,3853.831862,301.5222973,
33,0.0035,5,1450,2.5,0,65,131,10,,732.0611223,1475.384723,112.624788,64
151,0.0139,80,2900,2.4,0,80,252,7.5,,1433.66731,4516.052025,134.4063103,
190,0.0278,50,1450,2.5,0,125,395,15,,1520.145235,4803.658942,182.4174282,65
176,0.0242,115,2950,2.2,0,102,324,11,,1714.856023,5447.189721,184.9354535,
92,0.007,20,2900,3,0,65,131,10,,922.3392178,1858.86827,141.8983412,69
248,0.05,75,1475,1.5,0,154,514,17.5,,1762.859934,5883.831207,200.3249924,
217,0.0278,32,2900,3,0,100,178,17,,1048.017161,1865.470546,178.1629174,
259,0.0556,32,1450,2.5,0,155,325,22,,1289.308246,2703.388259,182.9985898,79
252,0.0536,50,2950,3.5,0,125,209,27,,1221.363915,2042.120465,263.8146056,
267,0.0556,125,2900,5.5,0,125,328,13,,1637.526814,4296.87036,170.3027887,
323,0.1528,32,1450,2.3,0,213.5,355,42,,1267.86619,2108.161581,249.4162997,
91,0.007,125,2900,2.5,0,65,315,8,,1698.963365,8233.437848,209.1031834,40
146,0.0139,32,1450,1.5,0,100,310,12,,1320.418882,4093.298533,158.4502658,
293,0.0847,17.5,1475,2.2,0,175,259,44,,1034.561378,1531.15084,260.1182894,
276,0.0556,50,1450,2.3,0,160,380,16,,1544.371293,3667.88182,154.4371293,
108,0.0094,21,1450,1.1,0,94,259,11,,1228.829609,3385.817753,143.7992096,
313,0.1228,125,2950,6,0,165,324,30,,1659.795157,3259.234126,301.7809376,
19,0.0018,20,1450,2.3,0,50,251,6.5,,1115.721583,5600.922349,145.0438059,
241,0.0417,48,1475,1.4,0,150,409,17,,1572.025741,4286.390188,178.1629174,
18,0.0018,12.5,1450,2.3,0,50,195,6,,953.9285355,3720.321288,114.4714243,
219,0.0278,20,1450,1.3,0,126,240,17,,1129.013006,2150.500964,152.3271516,
268,0.0556,20,1450,2.3,0,158,280,25.6,,1123.678716,1991.329371,182.0643996,
77,0.0069,32,1450,2.3,0,80,312,8,,1334.105833,5203.012747,133.4105833,
170,0.0194,33,1475,1,0,117,324,14,,1396.657545,3867.667047,167.1214156,
149,0.0139,34,2950,2.4,0,86,169,14,,1158.74131,2277.061412,188.6323063,
214,0.0278,80,2900,3,0,100,263,11,,1422.378122,3740.854461,156.4615934,
40,0.0035,32,2900,2.3,0,58,157,8.5,,1212.798464,3282.91998,177.7377059,52
22,0.0032,49,2950,1.6,0,56,209,9,,1390.603744,5189.931829,223.4898874,
113,0.0117,115,2950,1.25,0,87,324,9,,1863.616637,6940.365406,192.787928,
41,0.0035,50,2900,2.3,0,59,196,9,,1431.592227,4755.797906,218.3784753,46
208,0.0278,32,2900,2.3,0,100,178,17,,1048.017161,1865.470546,178.1629174,
212,0.0278,50,1450,1.4,0,125,395,15,,1520.145235,4803.658942,182.4174282,
254,0.0556,52.35,1450,2.43,19,150,399.5,21.5,29,1481.931888,3915.591843,210.7264697,77.97
242,0.0444,50,2900,2.3,0,100,215,23,,1040.388823,2236.83597,239.2894294,
255,0.0556,50,2900,4.5,0,125,216,26.5,,1206.540072,2084.901245,255.7864954,81
0,0.0004,8,2800,2.3,0,26,81,3,,705.7485803,2198.678269,81.4325285,34
95,0.007,125,1450,2.3,0,75,254,10,,1960.342345,6639.026074,261.3789793,60
200,0.0278,80,2900,2.3,0,94,250,13,,1337.035435,3555.945305,184.9091559,
161,0.015,21,1450,0.9,0,110,259,15,,1230.557836,2897.40436,167.8033413,
75,0.0069,12.5,1450,2.3,0,80,204,9,,975.2372798,2486.855063,109.714194,
81,0.0069,125,2900,2.3,0,65,315,8,,1707.131584,8273.022292,210.1085027,
133,0.0139,8,1450,2.5,0,90,110,18,,748.6305947,914.9929491,149.7261189,75
251,0.0528,80,2900,5,0,115,259,18,,1320.838933,2974.758989,206.740007,
70,0.0069,20.14,2900,1.92,0,65,130,9.5,27,928.9310546,1857.862109,135.7668464,72.59
125,0.0139,50,2900,2.5,0,75,204,10,,1149.157788,3125.709184,153.2210384,69
232,0.0347,31,1475,1,0,140,324,20,,1348.358701,3120.48728,192.6226716,
152,0.0139,125,2900,2.4,0,80,312,8,,1663.623544,6488.131821,166.3623544,
48,0.0035,20,1450,2.3,0,65,249,6.5,,1162.074596,4451.639605,116.2074596,
148,0.0139,8,1450,1.5,0,100,178,17,,831.8117719,1480.624954,141.4080012,
119,0.0128,140,2900,4,0,40,324,10,,887.9040017,7192.022414,221.9760004,
90,0.007,80,2900,2,0,65,254,4.5,,1464.122245,5721.339233,101.3623092,50
310,0.1111,32,1450,3.8,0,178,328,38,,1175.525286,2166.136482,250.9548364,
175,0.0236,46,1475,0.8,0,123,409,14.5,,1536.45692,5109.031546,181.1270352,
54,0.0035,12.5,1450,2.3,0,65,198,8,,993.5598034,3026.536016,122.2842835,
281,0.0667,23,1450,2.3,0,180,259,49,,1262.233898,1816.214331,343.6081166,
324,0.1611,132,1475,3.2,0,220,648,29,,2058.648236,6063.654803,271.3672674,
35,0.0035,20,2900,2.3,0,38,127,5,,679.3666867,2270.514979,89.39035351,58
188,0.0278,20,1450,4.5,0,125,255,21,,1120.052586,2284.907275,188.1688344,76
193,0.0278,32,2900,2.3,0,86,170,26,,901.2947584,1781.629174,272.4844618,
168,0.018,85,2900,3,0,94,259,11,,1577.042245,4345.254696,184.5474968,
