Unnamed: 0.1,flow[m3/s],lift[m],rotate speed[r/min],NPSHC[m],shaft diameter[mm],impeller inter diameter[mm],impeller outlet diameter[mm],outlet width[mm],outlet angle[°],d0k0,d2k2d2,b2k2b2,overall efficiency[%]
0,0.0004,8,2800,2.3,0,26,81,3,,705.7485803,2198.678269,81.4325285,34
1,0.0007,15,2800,2.3,0,29,112,5,,805.4941752,3110.874056,138.8783061,34
2,0.0007,32,2900,2.3,0,40,157,4.5,,1430.245656,5613.7142,160.9026363,25
3,0.001,28,2900,2.3,0,38,150,4,,1153.903809,4554.883458,121.4635589,31
4,0.0011,20,2900,2.3,0,30,127,5,,788.8607683,3339.510586,131.4767947,36
5,0.0011,32,2900,2.3,0,38,157,4,,1168.699059,4828.572428,123.0209536,32
6,0.0014,20,2900,2.5,0,38,127,5,,922.0424512,3081.562929,121.3213752,44
7,0.0018,5,1450,2,0,50,130,5,,702.8605544,1827.437441,70.28605544,54
8,0.0018,8,1450,2,0,50,158,6.4,,822.0706914,2597.743385,105.2250485,48
9,0.0018,12.5,1450,2,0,48,198,4,,915.771394,3777.557,76.31428284,42
10,0.0018,20,1450,2,0,50,250,5,,1115.721583,5578.607917,111.5721583,32
11,0.0018,32,2900,2.3,0,40,157,6,,1043.964704,4097.561464,156.5947056,40
12,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
13,0.0018,8,1450,2.3,0,48,165,6,,789.1878638,2712.833282,98.64848297,
14,0.0018,12.5,1450,2.3,0,50,195,6,,953.9285355,3720.321288,114.4714243,
15,0.0018,20,1450,2.3,0,50,251,6.5,,1115.721583,5600.922349,145.0438059,
16,0.0018,5,1450,2.3,0,51,138,6,,716.9177655,1939.89513,84.34326653,
17,0.0018,8,1450,2.3,0,48,165,6,,789.1878638,2712.833282,98.64848297,
18,0.0018,12.5,1450,2.3,0,50,195,6,,953.9285355,3720.321288,114.4714243,
19,0.0018,20,1450,2.3,0,50,251,6.5,,1115.721583,5600.922349,145.0438059,
20,0.0028,13,1450,1,0,53,209,7,,884.1738032,3486.647639,116.7776721,
21,0.0031,20,1450,0.9,0,75,259,7,,1396.209849,4821.578013,130.3129193,
22,0.0032,49,2950,1.6,0,56,209,9,,1390.603744,5189.931829,223.4898874,
23,0.0035,80.78,2900,1.55,0,52,242,4,26,1480.523409,6890.128171,113.8864161,42.21
24,0.0035,50.34,2900,1.04,0,48,200,6,38,1167.319193,4863.829972,145.9148992,51.09
25,0.0035,31.25,2900,1.54,0,44,160,5.6,42,912.8091867,3319.306133,116.1757147,56.32
26,0.0035,20,2900,2,0,50,130,5,,893.9035351,2324.149191,89.39035351,60
27,0.0035,32,2900,2,0,50,158,6.4,,1045.515917,3303.830298,133.8260374,54
28,0.0035,50,2900,2,0,48,198,4,,1164.685202,4804.326456,97.05710013,48
29,0.0035,80,2900,2,0,50,250,5,,1418.983412,7094.91706,141.8983412,38
30,0.0035,12.5,1450,2,0,65,200,8,,993.5598034,3057.107087,122.2842835,55
31,0.0035,20,1450,2,0,65,254,4.5,,1162.074596,4541.029958,80.45131816,46
32,0.0035,32,1450,2.5,0,65,315,8,,1359.170692,6586.750278,167.2825467,35
33,0.0035,5,1450,2.5,0,65,131,10,,732.0611223,1475.384723,112.624788,64
34,0.0035,50,2900,2.3,0,40,195,5,,970.5710013,4731.533631,121.3213752,46
35,0.0035,20,2900,2.3,0,38,127,5,,679.3666867,2270.514979,89.39035351,58
36,0.0035,32,2900,2.3,0,51,157,7,,1066.426235,3282.91998,146.3722284,52
37,0.0035,80,2900,2.3,0,49,245,7,,1390.603744,6953.018719,198.6576777,38
38,0.0035,12.5,2900,2.3,0,55,110,15,,840.704449,1681.408898,229.2830315,62
39,0.0035,20,2900,2.3,0,56,135,8,,1001.171959,2413.539545,143.0245656,58
40,0.0035,32,2900,2.3,0,58,157,8.5,,1212.798464,3282.91998,177.7377059,52
41,0.0035,50,2900,2.3,0,59,196,9,,1431.592227,4755.797906,218.3784753,46
42,0.0035,50,2900,2.3,0,49,245,7,,1188.949477,5944.747383,169.8499252,46
43,0.0035,12.5,2900,2.3,0,55,110,15,,840.704449,1681.408898,229.2830315,62
44,0.0035,32,2900,2.3,0,48,165,6,,1003.69528,3450.202527,125.4619101,
45,0.0035,50,2900,2.3,0,50,195,6,,1213.213752,4731.533631,145.5856502,
46,0.0035,80,2900,2.3,0,50,251,6.5,,1418.983412,7123.296728,184.4678436,
47,0.0035,12.5,1450,2.3,0,65,198,8,,993.5598034,3026.536016,122.2842835,
48,0.0035,20,1450,2.3,0,65,249,6.5,,1162.074596,4451.639605,116.2074596,
49,0.0035,32,1450,2.3,0,65,315,8,,1359.170692,6586.750278,167.2825467,
50,0.0035,20,2900,2.3,0,51,138,6,,911.7816058,2467.173757,107.2684242,
51,0.0035,32,2900,2.3,0,48,165,6,,1003.69528,3450.202527,125.4619101,
52,0.0035,50,2900,2.3,0,50,195,6,,1213.213752,4731.533631,145.5856502,
53,0.0035,80,2900,2.3,0,50,251,6.5,,1418.983412,7123.296728,184.4678436,
54,0.0035,12.5,1450,2.3,0,65,198,8,,993.5598034,3026.536016,122.2842835,
55,0.0035,20,1450,2.3,0,65,249,6.5,,1162.074596,4451.639605,116.2074596,
56,0.0035,32,1450,2.3,0,65,315,8,,1359.170692,6586.750278,167.2825467,
57,0.0035,5,1450,2.3,0,65,132,10,,732.0611223,1486.647202,112.624788,
58,0.0035,8,1450,2.3,0,65,169,6.5,,856.2238828,2226.182095,85.62238828,
59,0.0042,8,1450,0.5,0,70,169,10,,867.7173319,2094.917559,123.9596188,
60,0.0044,13,1450,1.1,0,70,209,9,,1004.449866,2999.000315,129.1435542,
61,0.0056,30.8,2900,2.8,0,52,162,7,,917.8905672,2859.582152,123.5621917,63.5
62,0.0056,8,1450,2.5,0,76,168,14,,855.9483891,1892.096439,157.6747033,69
63,0.0056,36,2900,3.1,0,52,180,7,,966.885027,3346.909709,130.1575998,
64,0.0056,50,2900,27,0,53,209,7,,1099.520157,4335.843637,145.2196433,
65,0.0056,85,2900,2.1,0,75,259,7,,1856.970037,6412.736528,173.3172035,
66,0.0056,21,1450,2.5,0,84,259,9,,1305.037653,4023.866095,139.8254628,
67,0.0061,36,1450,1,0,40,324,10,,722.8544849,5855.121328,180.7136212,
68,0.0068,51.06,2900,3.5,0,50,209,4,,979.1005704,4092.640384,78.32804563,61.8
69,0.0069,30.13,2900,1.27,0,62,160,9.5,37,1013.386318,2615.190498,155.2769358,69.49
70,0.0069,20.14,2900,1.92,0,65,130,9.5,27,928.9310546,1857.862109,135.7668464,72.59
71,0.0069,80,2900,2.3,0,65,248,6,,1471.161402,5613.04658,135.799514,
72,0.0069,50,2900,2.3,0,65,198,8,,1257.825306,3831.529392,154.8092684,
73,0.0069,80,2900,2.3,0,65,249,6.5,,1471.161402,5635.679832,147.1161402,
74,0.0069,125,2900,2.3,0,65,315,8,,1707.131584,8273.022292,210.1085027,
75,0.0069,12.5,1450,2.3,0,80,204,9,,975.2372798,2486.855063,109.714194,
76,0.0069,80,2900,2.3,0,80,252,7.5,,1810.660187,5703.579589,169.7493925,
77,0.0069,32,1450,2.3,0,80,312,8,,1334.105833,5203.012747,133.4105833,
78,0.0069,8.4,1475,0.75,0,86,169,14,,918.2801215,1804.527216,149.4874616,
79,0.0069,50,2900,2.3,0,65,198,8,,1257.825306,3831.529392,154.8092684,
80,0.0069,80,2900,2.3,0,65,249,6.5,,1471.161402,5635.679832,147.1161402,
81,0.0069,125,2900,2.3,0,65,315,8,,1707.131584,8273.022292,210.1085027,
82,0.0069,20,2900,2.3,0,65,132,10,,926.7736091,1882.063329,142.5805552,
83,0.0069,32,2900,2.3,0,65,169,6.5,,1083.960989,2818.298571,108.3960989,
84,0.0069,12.5,1450,2.5,0,80,204,9,,975.2372798,2486.855063,109.714194,
85,0.0069,20,1450,2.5,0,80,252,7.5,,1140.644442,3593.029992,106.9354164,
86,0.0069,32,1450,2.5,0,80,312,8,,1334.105833,5203.012747,133.4105833,
87,0.0069,5,1450,2.5,0,80,140,13,,718.5609714,1257.4817,116.7661579,
88,0.0069,8,1450,2.5,0,85,174,10,,892.9611363,1827.943973,105.0542513,
89,0.007,50,2900,2,0,65,200,8,,1251.806911,3851.713571,154.0685428,60
90,0.007,80,2900,2,0,65,254,4.5,,1464.122245,5721.339233,101.3623092,50
91,0.007,125,2900,2.5,0,65,315,8,,1698.963365,8233.437848,209.1031834,40
92,0.007,20,2900,3,0,65,131,10,,922.3392178,1858.86827,141.8983412,69
93,0.007,8,1450,2.5,0,65,165,7,,679.5853461,1725.101263,73.1861142,60
94,0.007,12.5,1450,2.5,0,75,204,10,,909.9103137,2474.956053,121.3213752,65
95,0.007,125,1450,,0,75,254,10,,1960.342345,6639.026074,261.3789793,60
96,0.007,32,1450,2.5,0,80,315,7.5,,1327.722453,5227.90716,124.47398,52
97,0.007,5,1450,2.5,0,76,138,14,,679.3666867,1233.586878,125.1464949,71
98,0.007,8,1450,2.5,0,76,168,14,,794.592097,1756.466741,146.3722284,69
99,0.0078,33,2950,3,0,72,169,10,,1164.498523,2733.336812,161.735906,
100,0.0081,53,2950,2.2,0,78,209,9,,1458.897857,3909.098103,168.3343681,
101,0.0083,34,2900,1.5,0,70,169,10,,1120.035139,2704.084837,160.0050199,
102,0.0083,8,1450,1.6,0,80,169,15,,790.242929,1669.388188,148.1705492,
103,0.0086,13,2950,0.75,0,90,209,13,,1032.898095,2398.61891,149.1963915,
104,0.0089,78,2950,2.2,0,81,259,10,,1670.013124,5339.918509,206.1744598,
